Sample	Counted_Reads	Norm_Factor	Avg_Corr	Corr_diff	MADScore	isOutlier
TG241	52815735	1.0099	0.9582	0.003492	0.02137	N
TG242	46524846	0.9854	0.9587	0.004014	0.07541	N
TG243	44136854	0.9945	0.9595	0.004812	0.15813	N
TG481	44838954	0.9412	0.964	0.009633	0.65773	N
TG482	46585843	0.9581	0.9645	0.010113	0.70744	N
TG483	42813053	0.9606	0.9631	0.008589	0.54947	N
TG721	39831111	0.9978	0.9457	-0.009679	-1.3435	N
TG722	47943155	0.9837	0.9472	-0.008156	-1.18566	N
TG723	42919444	0.9849	0.9476	-0.007715	-1.13997	N
TGJ241	49064335	0.9025	0.9524	-0.002623	-0.61238	N
TGJ242	43296547	0.9305	0.9527	-0.002315	-0.58042	N
TGJ243	45377949	0.9236	0.9523	-0.002766	-0.62715	N
TGJ481	44777798	0.9961	0.9514	-0.003693	-0.72317	N
TGJ482	42943955	0.9465	0.9518	-0.003223	-0.67449	N
TGJ483	41235802	0.9677	0.9519	-0.003191	-0.67116	N
TGJ721	41967819	1.0566	0.938	-0.017841	-2.1893	N
TGJ722	37239636	1.0506	0.9375	-0.018353	-2.24237	N
TGJ723	46424073	0.9903	0.9408	-0.014833	-1.87763	N
U01	52068416	0.983	0.9488	-0.006399	-1.00359	N
U02	43811085	0.9723	0.95	-0.005166	-0.87585	N
U03	54781934	0.9798	0.9482	-0.007044	-1.07042	N
U241	51675953	1.0931	0.9637	0.009266	0.61962	N
U242	54450384	1.086	0.9649	0.010496	0.74711	N
U243	54001630	1.0988	0.9655	0.011163	0.8163	N
U481	41218017	1.0578	0.9589	0.00418	0.09268	N
U482	46855361	1.0588	0.9579	0.003201	-0.00883	N
U483	46542118	1.0641	0.9588	0.004087	0.08295	N
U721	44276690	1.0572	0.958	0.003286	0	N
U722	40637760	1.0342	0.9599	0.005237	0.20221	N
U723	38856115	1.0416	0.9606	0.005972	0.27834	N
