row.names	TG241	TG242	TG243	TG481	TG482	TG483	TG721	TG722	TG723	TGJ241	TGJ242	TGJ243	TGJ481	TGJ482	TGJ483	TGJ721	TGJ722	TGJ723	U01	U02	U03	U241	U242	U243	U481	U482	U483	U721	U722	U723
TG241	1	0.9971	0.997	0.9621	0.9612	0.9629	0.9277	0.9292	0.9293	0.9693	0.9692	0.9692	0.9464	0.946	0.9475	0.9154	0.9148	0.9191	0.9857	0.9865	0.985	0.9904	0.9888	0.9877	0.9492	0.9469	0.949	0.9404	0.9441	0.9454
TG242	0.9971	1	0.9972	0.9648	0.963	0.965	0.9279	0.9296	0.93	0.9694	0.9686	0.9686	0.9468	0.9473	0.9487	0.9155	0.9148	0.9208	0.9833	0.9845	0.9824	0.9902	0.989	0.9878	0.9512	0.949	0.951	0.9419	0.9456	0.9469
TG243	0.997	0.9972	1	0.9662	0.9648	0.9669	0.9292	0.9309	0.9313	0.9692	0.9687	0.9686	0.9474	0.9477	0.9492	0.9169	0.9162	0.9218	0.9827	0.9839	0.982	0.9904	0.9893	0.9882	0.9527	0.9508	0.9526	0.9434	0.9472	0.9483
TG481	0.9621	0.9648	0.9662	1	0.996	0.994	0.9657	0.9678	0.9691	0.943	0.9426	0.9415	0.9471	0.9501	0.949	0.9365	0.9362	0.9419	0.9417	0.9439	0.941	0.968	0.9712	0.9726	0.9827	0.9823	0.9828	0.9803	0.9818	0.982
TG482	0.9612	0.963	0.9648	0.996	1	0.9936	0.9686	0.9706	0.9717	0.9424	0.9432	0.9418	0.9479	0.9501	0.9487	0.9384	0.9382	0.942	0.9421	0.9441	0.9414	0.9673	0.9707	0.9724	0.9824	0.9821	0.9824	0.981	0.982	0.9823
TG483	0.9629	0.965	0.9669	0.994	0.9936	1	0.9623	0.9655	0.9658	0.9437	0.9433	0.9422	0.9463	0.9493	0.9498	0.9356	0.9343	0.9409	0.9416	0.9438	0.9399	0.9684	0.9713	0.9717	0.981	0.9816	0.982	0.9778	0.9797	0.9804
TG721	0.9277	0.9279	0.9292	0.9657	0.9686	0.9623	1	0.9966	0.9962	0.9188	0.921	0.9198	0.9212	0.9213	0.9203	0.9227	0.9228	0.9223	0.9192	0.9199	0.9193	0.9305	0.933	0.9346	0.9456	0.9459	0.946	0.9651	0.9674	0.9668
TG722	0.9292	0.9296	0.9309	0.9678	0.9706	0.9655	0.9966	1	0.9968	0.9203	0.922	0.9209	0.9224	0.9233	0.9224	0.9235	0.9231	0.9242	0.9195	0.9205	0.9194	0.9325	0.935	0.9362	0.9482	0.9486	0.9487	0.9671	0.9694	0.9691
TG723	0.9293	0.93	0.9313	0.9691	0.9717	0.9658	0.9962	0.9968	1	0.9209	0.9223	0.921	0.9227	0.9238	0.9227	0.9239	0.924	0.9251	0.9198	0.9209	0.9196	0.9327	0.9353	0.9367	0.9491	0.9495	0.9496	0.9685	0.9703	0.9699
TGJ241	0.9693	0.9694	0.9692	0.943	0.9424	0.9437	0.9188	0.9203	0.9209	1	0.9963	0.9963	0.9762	0.9761	0.978	0.9479	0.9473	0.9527	0.964	0.9656	0.9627	0.9694	0.9679	0.9669	0.9374	0.9353	0.9367	0.9332	0.9364	0.9373
TGJ242	0.9692	0.9686	0.9687	0.9426	0.9432	0.9433	0.921	0.922	0.9223	0.9963	1	0.9968	0.9769	0.9754	0.9771	0.9505	0.95	0.9526	0.9648	0.9656	0.9641	0.9683	0.9671	0.9665	0.9371	0.935	0.9364	0.9333	0.9362	0.9372
TGJ243	0.9692	0.9686	0.9686	0.9415	0.9418	0.9422	0.9198	0.9209	0.921	0.9963	0.9968	1	0.9766	0.9753	0.9769	0.9494	0.9489	0.9521	0.9653	0.966	0.9647	0.9684	0.9671	0.9666	0.9364	0.9341	0.9356	0.9322	0.9355	0.9366
TGJ481	0.9464	0.9468	0.9474	0.9471	0.9479	0.9463	0.9212	0.9224	0.9227	0.9762	0.9769	0.9766	1	0.9959	0.9956	0.9823	0.9812	0.9838	0.937	0.9375	0.9365	0.9587	0.9606	0.9618	0.9553	0.9539	0.9549	0.9449	0.9441	0.9456
TGJ482	0.946	0.9473	0.9477	0.9501	0.9501	0.9493	0.9213	0.9233	0.9238	0.9761	0.9754	0.9753	0.9959	1	0.9964	0.9807	0.9798	0.9853	0.9341	0.9357	0.9332	0.9591	0.961	0.9619	0.9576	0.9563	0.957	0.9466	0.9462	0.9476
TGJ483	0.9475	0.9487	0.9492	0.949	0.9487	0.9498	0.9203	0.9224	0.9227	0.978	0.9771	0.9769	0.9956	0.9964	1	0.9799	0.9784	0.9844	0.936	0.9377	0.9347	0.96	0.9615	0.9622	0.9563	0.9551	0.9562	0.9456	0.9453	0.9469
TGJ721	0.9154	0.9155	0.9169	0.9365	0.9384	0.9356	0.9227	0.9235	0.9239	0.9479	0.9505	0.9494	0.9823	0.9807	0.9799	1	0.9955	0.9934	0.9074	0.9076	0.9073	0.9311	0.9341	0.9366	0.951	0.9517	0.9517	0.9492	0.9468	0.948
TGJ722	0.9148	0.9148	0.9162	0.9362	0.9382	0.9343	0.9228	0.9231	0.924	0.9473	0.95	0.9489	0.9812	0.9798	0.9784	0.9955	1	0.9927	0.9075	0.9075	0.9073	0.9302	0.9334	0.936	0.95	0.9505	0.9506	0.9491	0.9465	0.9476
TGJ723	0.9191	0.9208	0.9218	0.9419	0.942	0.9409	0.9223	0.9242	0.9251	0.9527	0.9526	0.9521	0.9838	0.9853	0.9844	0.9934	0.9927	1	0.908	0.9096	0.9069	0.9356	0.9382	0.9402	0.9552	0.9559	0.9558	0.9521	0.9498	0.9512
U01	0.9857	0.9833	0.9827	0.9417	0.9421	0.9416	0.9192	0.9195	0.9198	0.964	0.9648	0.9653	0.937	0.9341	0.936	0.9074	0.9075	0.908	1	0.9969	0.9973	0.9813	0.9784	0.9774	0.9326	0.9303	0.9322	0.93	0.9345	0.9354
U02	0.9865	0.9845	0.9839	0.9439	0.9441	0.9438	0.9199	0.9205	0.9209	0.9656	0.9656	0.966	0.9375	0.9357	0.9377	0.9076	0.9075	0.9096	0.9969	1	0.9966	0.9826	0.9797	0.9784	0.9345	0.9325	0.9341	0.9321	0.9367	0.9373
U03	0.985	0.9824	0.982	0.941	0.9414	0.9399	0.9193	0.9194	0.9196	0.9627	0.9641	0.9647	0.9365	0.9332	0.9347	0.9073	0.9073	0.9069	0.9973	0.9966	1	0.9803	0.9775	0.9768	0.9318	0.9294	0.9311	0.9292	0.9339	0.9346
U241	0.9904	0.9902	0.9904	0.968	0.9673	0.9684	0.9305	0.9325	0.9327	0.9694	0.9683	0.9684	0.9587	0.9591	0.96	0.9311	0.9302	0.9356	0.9813	0.9826	0.9803	1	0.9971	0.9964	0.9668	0.9647	0.9663	0.9531	0.9555	0.957
U242	0.9888	0.989	0.9893	0.9712	0.9707	0.9713	0.933	0.935	0.9353	0.9679	0.9671	0.9671	0.9606	0.961	0.9615	0.9341	0.9334	0.9382	0.9784	0.9797	0.9775	0.9971	1	0.997	0.9706	0.9686	0.9703	0.9564	0.9586	0.9597
U243	0.9877	0.9878	0.9882	0.9726	0.9724	0.9717	0.9346	0.9362	0.9367	0.9669	0.9665	0.9666	0.9618	0.9619	0.9622	0.9366	0.936	0.9402	0.9774	0.9784	0.9768	0.9964	0.997	1	0.9729	0.9709	0.9724	0.9586	0.9602	0.9617
U481	0.9492	0.9512	0.9527	0.9827	0.9824	0.981	0.9456	0.9482	0.9491	0.9374	0.9371	0.9364	0.9553	0.9576	0.9563	0.951	0.95	0.9552	0.9326	0.9345	0.9318	0.9668	0.9706	0.9729	1	0.9962	0.9964	0.9855	0.9837	0.9849
U482	0.9469	0.949	0.9508	0.9823	0.9821	0.9816	0.9459	0.9486	0.9495	0.9353	0.935	0.9341	0.9539	0.9563	0.9551	0.9517	0.9505	0.9559	0.9303	0.9325	0.9294	0.9647	0.9686	0.9709	0.9962	1	0.9967	0.9859	0.9841	0.9853
U483	0.949	0.951	0.9526	0.9828	0.9824	0.982	0.946	0.9487	0.9496	0.9367	0.9364	0.9356	0.9549	0.957	0.9562	0.9517	0.9506	0.9558	0.9322	0.9341	0.9311	0.9663	0.9703	0.9724	0.9964	0.9967	1	0.9858	0.9841	0.9852
U721	0.9404	0.9419	0.9434	0.9803	0.981	0.9778	0.9651	0.9671	0.9685	0.9332	0.9333	0.9322	0.9449	0.9466	0.9456	0.9492	0.9491	0.9521	0.93	0.9321	0.9292	0.9531	0.9564	0.9586	0.9855	0.9859	0.9858	1	0.9955	0.9958
U722	0.9441	0.9456	0.9472	0.9818	0.982	0.9797	0.9674	0.9694	0.9703	0.9364	0.9362	0.9355	0.9441	0.9462	0.9453	0.9468	0.9465	0.9498	0.9345	0.9367	0.9339	0.9555	0.9586	0.9602	0.9837	0.9841	0.9841	0.9955	1	0.9963
U723	0.9454	0.9469	0.9483	0.982	0.9823	0.9804	0.9668	0.9691	0.9699	0.9373	0.9372	0.9366	0.9456	0.9476	0.9469	0.948	0.9476	0.9512	0.9354	0.9373	0.9346	0.957	0.9597	0.9617	0.9849	0.9853	0.9852	0.9958	0.9963	1
