Pair	U723	U722	U721	U483	U482	U481	U243	U242	U241	U03	U02	U01	TGJ723	TGJ722	TGJ721	TGJ483	TGJ482	TGJ481	TGJ243	TGJ242	TGJ241	TG723	TG722	TG721	TG483	TG482	TG481	TG243	TG242	TG241
U723	100	98.72	99.06	97.95	98.38	97.51	97.42	97.6	97.85	98.01	97.81	97.48	97.13	96.59	96.77	96.5	96.43	96.08	96.84	96.57	97.02	97.68	97.91	97.48	97.84	97.77	97.94	97.11	96.6	97.47
U722	98.05	100	98.39	97.29	98.04	96.69	97.02	97.02	97.95	97.59	97.13	96.81	96.24	96.21	96.12	95.4	95.69	95.97	96.32	96.42	96.96	97.36	97.95	97.59	97.35	96.93	96.84	96.34	96.79	97.06
U721	98.18	98.48	100	97.56	98.39	97.64	97.02	97.48	98	97.66	97.49	97.28	96.77	96.28	96.18	95.64	96.28	95.72	96.37	96.45	96.41	97.23	97.38	97.28	97.24	97.4	97.25	96.77	96.46	97.1
U483	97.15	97.22	97.85	100	98.47	97.78	97.07	97.61	98.22	97.42	97.62	97.01	97.26	96.84	96.82	96.54	96.8	96.31	96.03	96.82	96.37	95.59	96.93	95.76	97.37	97.46	97.06	97.54	96.67	97.4
U482	96.99	96.91	97.77	98.16	100	97.54	97.44	97.69	98.44	97.48	97.6	97.86	97.26	96.76	96.19	96.06	96.39	96.45	96.63	97.18	97.45	95.65	96.02	95.74	97.66	97.44	97.36	97.2	97.13	97.78
U481	97.89	97.73	97.98	98.82	98.99	100	98.06	98.23	98.65	98.04	98.53	98.11	97.35	96.91	96.48	96.9	97.1	96.85	97.14	97.14	97.23	96.64	97.42	96.53	98.3	98.48	97.89	97.59	97.58	97.85
U243	96.34	96.4	96.8	96.75	97.69	96.81	100	97.34	98.2	97.69	97.37	96.66	96.65	96	95.82	96.01	96.3	95.86	96.43	97.01	97.12	94.89	96.18	94.61	96.4	96.63	96.49	97.23	97.02	97.68
U242	96.92	97.01	96.87	97.62	98.3	97.68	98.08	100	98.82	98.22	97.83	97.11	96.66	96.31	96.38	96.83	97.12	96.22	97.04	97.05	97.13	96	96.61	96.11	97.38	97.09	97.54	97.69	97.09	98.07
U241	96.69	96.93	96.48	97.5	98.48	97.63	98.04	98.19	100	97.8	97.94	97.35	97.19	96.76	96.39	96.59	96.66	96.68	97.52	97.51	97.62	95.63	96.68	95.48	97.38	96.71	97.09	97.49	97.49	97.95
U03	97.31	97.22	97.02	96.94	97.65	97.16	97.44	97.89	98.26	100	97.82	97.6	96.85	95.9	95.43	95.87	95.97	96.28	96.91	97.68	97.7	96.34	96.48	95.92	97.38	97.15	97.46	96.97	97.27	97.88
