Sample	Total_Tags	CDS_Exon	5UTR_Exon	3UTR_Exon	Introns	Intergenic
TG241	168255730	83.45	1.97	10.44	3.83	0.31
TG242	149239962	83.96	2.03	9.89	3.81	0.31
TG243	141028806	83.93	1.97	10.06	3.73	0.31
TG481	147802812	83.68	1.84	9.23	4.89	0.37
TG482	152840253	82.77	1.88	9.79	5.19	0.38
TG483	140288117	83.58	1.84	9.36	4.85	0.37
TG721	127432329	80.87	1.96	11.09	5.68	0.4
TG722	152784333	81.36	2.03	11.01	5.23	0.37
TG723	137413796	80.92	2.12	10.88	5.69	0.39
TGJ241	156792446	82.91	2.08	10.04	4.67	0.3
TGJ242	138204054	82.12	1.95	10.64	4.97	0.31
TGJ243	144599880	82.22	1.95	10.75	4.77	0.31
TGJ481	143777173	80.58	2.09	10.85	6.08	0.39
TGJ482	138087402	82.12	2.11	10.03	5.38	0.36
TGJ483	132266087	81.69	2.15	10.29	5.5	0.38
TGJ721	134919162	76.16	2.06	12.13	9.14	0.51
TGJ722	120220739	75.87	2.05	11.99	9.55	0.54
TGJ723	148570722	78.55	2.39	11.1	7.51	0.45
U01	166052375	80.73	1.94	11.53	5.46	0.34
U02	139716637	81.29	2	11.04	5.34	0.33
U03	174902382	80.56	1.85	11.71	5.53	0.35
U241	166224334	82.25	2.05	10.29	5.03	0.38
U242	175786107	82.09	2	10.34	5.17	0.39
U243	174889324	81.75	2.01	10.42	5.39	0.44
U481	135081007	81.11	1.91	10.42	6.13	0.43
U482	153161127	81.06	1.95	10.5	6.05	0.44
U483	151945887	81.14	1.95	10.53	5.96	0.43
U721	143733867	78.5	2.15	11.33	7.52	0.5
U722	131883783	80.09	1.87	10.73	6.86	0.45
U723	126291203	79.73	1.98	10.93	6.89	0.46
