Sample	Uniq_Mapped_Reads	Gene_Rate	Ambiguity_Rate	No_Feature_Rate
TG241	57197207	92.35	2.04	5.61
TG242	50478704	92.17	2.12	5.7
TG243	47724139	92.49	2.03	5.48
TG481	49392037	90.79	1.81	7.39
TG482	51472352	90.52	1.75	7.74
TG483	47130735	90.85	1.81	7.34
TG721	44275763	89.97	1.81	8.22
TG722	52927242	90.59	1.81	7.6
TG723	47700802	89.99	1.81	8.2
TGJ241	53692893	91.39	2.03	6.59
TGJ242	47537308	91.08	1.97	6.94
TGJ243	49757657	91.2	1.97	6.83
TGJ481	50095643	89.39	1.99	8.61
TGJ482	47568090	90.29	2	7.71
TGJ483	45764879	90.11	2.02	7.87
TGJ721	48842287	85.93	1.82	12.24
TGJ722	43647829	85.33	1.82	12.85
TGJ723	52984921	87.63	1.97	10.41
U01	57605013	90.39	1.95	7.65
U02	48303276	90.71	1.92	7.38
U03	60712554	90.24	1.94	7.83
U241	56995843	90.67	2.02	7.31
U242	60216828	90.43	2	7.57
U243	60047199	89.94	1.98	8.07
U481	46236418	89.15	1.9	8.95
U482	52495924	89.27	1.86	8.86
U483	52054588	89.42	1.9	8.68
U721	50611126	87.49	1.89	10.62
U722	45938014	88.47	1.8	9.72
U723	44033815	88.25	1.86	9.89
