Sample	Total_reads	Uniq_Rate	Multi_Rate	Unmap_Rate
TG241	59169972	96.67	1.9	1.43
TG242	51957580	97.15	1.87	0.98
TG243	49281419	96.84	1.87	1.29
TG481	50779927	97.27	1.8	0.93
TG482	53151367	96.84	1.79	1.37
TG483	49646695	94.93	1.82	3.25
TG721	45506976	97.29	1.82	0.89
TG722	54456024	97.19	1.79	1.02
TG723	49046051	97.26	1.77	0.97
TGJ241	55544088	96.67	1.97	1.36
TGJ242	49370493	96.29	2.02	1.69
TGJ243	51667372	96.3	2	1.7
TGJ481	51934754	96.46	2.17	1.37
TGJ482	49088307	96.9	2.09	1.01
TGJ483	47476052	96.4	2.12	1.48
TGJ721	50806740	96.13	2.16	1.71
TGJ722	45312473	96.33	2.14	1.53
TGJ723	54715672	96.84	2.08	1.08
U01	59740634	96.43	1.98	1.59
U02	50047807	96.51	1.95	1.54
U03	62731309	96.78	2.01	1.21
U241	59877181	95.19	1.96	2.85
U242	62347468	96.58	1.97	1.45
U243	62046558	96.78	1.97	1.25
U481	47730297	96.87	1.92	1.21
U482	54312248	96.66	1.88	1.46
U483	53753116	96.84	1.9	1.26
U721	52081230	97.18	2.03	0.79
U722	47234984	97.25	2.01	0.74
U723	45293061	97.22	2.01	0.77
