gene_id	gene_name	description	biotype	logFC	logCPM	LR	PValue	FDR
ENSG00000100968	NFATC4	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4 [Source:HGNC Symbol;Acc:HGNC:7778]	protein_coding	-5.351e+00	 5.3779117	2.361e+03	 0.000e+00	 0.000e+00
ENSG00000154262	ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6 [Source:HGNC Symbol;Acc:HGNC:36]	protein_coding	-5.216e+00	 6.1368196	3.946e+03	 0.000e+00	 0.000e+00
ENSG00000084710	EFR3B	EFR3 homolog B (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:29155]	protein_coding	 4.840e+00	 4.2416816	2.848e+03	 0.000e+00	 0.000e+00
ENSG00000103888	CEMIP	cell migration inducing protein, hyaluronan binding [Source:HGNC Symbol;Acc:HGNC:29213]	protein_coding	-4.762e+00	 4.5250849	2.043e+03	 0.000e+00	 0.000e+00
ENSG00000173597	SULT1B1	sulfotransferase family, cytosolic, 1B, member 1 [Source:HGNC Symbol;Acc:HGNC:17845]	protein_coding	-4.657e+00	 4.2883951	2.268e+03	 0.000e+00	 0.000e+00
ENSG00000124440	HIF3A	hypoxia inducible factor 3, alpha subunit [Source:HGNC Symbol;Acc:HGNC:15825]	protein_coding	-4.628e+00	 4.8332902	2.742e+03	 0.000e+00	 0.000e+00
ENSG00000162692	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	protein_coding	-4.385e+00	 4.7866889	3.173e+03	 0.000e+00	 0.000e+00
ENSG00000188613	NANOS1	nanos homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:23044]	protein_coding	 4.306e+00	 3.5892765	1.979e+03	 0.000e+00	 0.000e+00
ENSG00000164125	FAM198B	family with sequence similarity 198, member B [Source:HGNC Symbol;Acc:HGNC:25312]	protein_coding	-4.297e+00	 4.9187580	1.907e+03	 0.000e+00	 0.000e+00
ENSG00000132274	TRIM22	tripartite motif containing 22 [Source:HGNC Symbol;Acc:HGNC:16379]	protein_coding	-4.102e+00	 4.8952666	2.331e+03	 0.000e+00	 0.000e+00
ENSG00000182752	PAPPA	pregnancy-associated plasma protein A, pappalysin 1 [Source:HGNC Symbol;Acc:HGNC:8602]	protein_coding	-4.074e+00	 7.4692435	4.710e+03	 0.000e+00	 0.000e+00
ENSG00000188549	C15orf52	chromosome 15 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:33488]	protein_coding	-4.071e+00	 4.3325403	1.816e+03	 0.000e+00	 0.000e+00
ENSG00000176435	CLEC14A	C-type lectin domain family 14, member A [Source:HGNC Symbol;Acc:HGNC:19832]	protein_coding	-3.898e+00	 3.8572030	1.737e+03	 0.000e+00	 0.000e+00
ENSG00000104415	WISP1	WNT1 inducible signaling pathway protein 1 [Source:HGNC Symbol;Acc:HGNC:12769]	protein_coding	-3.853e+00	 4.8972699	2.758e+03	 0.000e+00	 0.000e+00
ENSG00000143127	ITGA10	integrin, alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]	protein_coding	-3.763e+00	 5.9003954	1.884e+03	 0.000e+00	 0.000e+00
ENSG00000106003	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:6560]	protein_coding	 3.718e+00	 4.2338355	1.502e+03	 0.000e+00	 0.000e+00
ENSG00000127241	MASP1	mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor) [Source:HGNC Symbol;Acc:HGNC:6901]	protein_coding	-3.711e+00	 4.8985311	1.822e+03	 0.000e+00	 0.000e+00
ENSG00000184584	TMEM173	transmembrane protein 173 [Source:HGNC Symbol;Acc:HGNC:27962]	protein_coding	-3.650e+00	 4.7114343	2.349e+03	 0.000e+00	 0.000e+00
ENSG00000164056	SPRY1	sprouty homolog 1, antagonist of FGF signaling (Drosophila) [Source:HGNC Symbol;Acc:HGNC:11269]	protein_coding	-3.604e+00	 5.8910144	2.375e+03	 0.000e+00	 0.000e+00
ENSG00000258947	TUBB3	tubulin, beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]	protein_coding	 3.603e+00	 5.2601832	2.379e+03	 0.000e+00	 0.000e+00
ENSG00000205362	MT1A	metallothionein 1A [Source:HGNC Symbol;Acc:HGNC:7393]	protein_coding	 3.568e+00	 4.9860368	2.582e+03	 0.000e+00	 0.000e+00
ENSG00000125538	IL1B	interleukin 1, beta [Source:HGNC Symbol;Acc:HGNC:5992]	protein_coding	-3.565e+00	 4.4362072	1.658e+03	 0.000e+00	 0.000e+00
ENSG00000171408	PDE7B	phosphodiesterase 7B [Source:HGNC Symbol;Acc:HGNC:8792]	protein_coding	-3.558e+00	 4.4312313	2.011e+03	 0.000e+00	 0.000e+00
ENSG00000138061	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:2597]	protein_coding	-3.498e+00	 5.7151432	1.776e+03	 0.000e+00	 0.000e+00
ENSG00000068078	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	protein_coding	 3.420e+00	 4.0547003	1.738e+03	 0.000e+00	 0.000e+00
ENSG00000118523	CTGF	connective tissue growth factor [Source:HGNC Symbol;Acc:HGNC:2500]	protein_coding	 3.355e+00	 8.7329584	2.136e+03	 0.000e+00	 0.000e+00
ENSG00000185432	METTL7A	methyltransferase like 7A [Source:HGNC Symbol;Acc:HGNC:24550]	protein_coding	-3.348e+00	 6.7803213	2.214e+03	 0.000e+00	 0.000e+00
ENSG00000182511	FES	FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]	protein_coding	-3.347e+00	 4.3706266	1.944e+03	 0.000e+00	 0.000e+00
ENSG00000074657	ZNF532	zinc finger protein 532 [Source:HGNC Symbol;Acc:HGNC:30940]	protein_coding	-3.335e+00	 5.0346540	2.326e+03	 0.000e+00	 0.000e+00
ENSG00000177283	FZD8	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	protein_coding	 3.309e+00	 5.2336497	2.242e+03	 0.000e+00	 0.000e+00
ENSG00000127528	KLF2	Kruppel-like factor 2 [Source:HGNC Symbol;Acc:HGNC:6347]	protein_coding	 3.279e+00	 6.5107198	1.920e+03	 0.000e+00	 0.000e+00
ENSG00000132357	CARD6	caspase recruitment domain family, member 6 [Source:HGNC Symbol;Acc:HGNC:16394]	protein_coding	-3.218e+00	 4.5513590	1.655e+03	 0.000e+00	 0.000e+00
ENSG00000184678	HIST2H2BE	histone cluster 2, H2be [Source:HGNC Symbol;Acc:HGNC:4760]	protein_coding	 3.198e+00	 3.8229014	1.554e+03	 0.000e+00	 0.000e+00
ENSG00000138172	CALHM2	calcium homeostasis modulator 2 [Source:HGNC Symbol;Acc:HGNC:23493]	protein_coding	-3.187e+00	 4.7407640	2.066e+03	 0.000e+00	 0.000e+00
ENSG00000242265	PEG10	paternally expressed 10 [Source:HGNC Symbol;Acc:HGNC:14005]	protein_coding	 3.168e+00	 9.3221743	5.063e+03	 0.000e+00	 0.000e+00
ENSG00000197415	VEPH1	ventricular zone expressed PH domain-containing 1 [Source:HGNC Symbol;Acc:HGNC:25735]	protein_coding	-3.079e+00	 4.5654130	1.854e+03	 0.000e+00	 0.000e+00
ENSG00000125266	EFNB2	ephrin-B2 [Source:HGNC Symbol;Acc:HGNC:3227]	protein_coding	 3.052e+00	 5.6281851	2.268e+03	 0.000e+00	 0.000e+00
ENSG00000019991	HGF	hepatocyte growth factor (hepapoietin A; scatter factor) [Source:HGNC Symbol;Acc:HGNC:4893]	protein_coding	-2.992e+00	 8.5248735	4.056e+03	 0.000e+00	 0.000e+00
ENSG00000101040	ZMYND8	zinc finger, MYND-type containing 8 [Source:HGNC Symbol;Acc:HGNC:9397]	protein_coding	-2.991e+00	 5.9243211	2.838e+03	 0.000e+00	 0.000e+00
ENSG00000130821	SLC6A8	solute carrier family 6 (neurotransmitter transporter), member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	protein_coding	 2.942e+00	 5.9172067	2.431e+03	 0.000e+00	 0.000e+00
ENSG00000168874	ATOH8	atonal homolog 8 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:24126]	protein_coding	-2.918e+00	 4.2776920	1.527e+03	 0.000e+00	 0.000e+00
ENSG00000151150	ANK3	ankyrin 3, node of Ranvier (ankyrin G) [Source:HGNC Symbol;Acc:HGNC:494]	protein_coding	-2.883e+00	 7.7688652	2.448e+03	 0.000e+00	 0.000e+00
ENSG00000041353	RAB27B	RAB27B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9767]	protein_coding	-2.771e+00	 5.0718764	1.719e+03	 0.000e+00	 0.000e+00
ENSG00000043143	JADE2	jade family PHD finger 2 [Source:HGNC Symbol;Acc:HGNC:22984]	protein_coding	-2.771e+00	 5.8038039	1.822e+03	 0.000e+00	 0.000e+00
ENSG00000273841	AK6	adenylate kinase 6 [Source:HGNC Symbol;Acc:HGNC:49151]	protein_coding	 2.758e+00	 6.9535376	2.673e+03	 0.000e+00	 0.000e+00
ENSG00000136732	GYPC	glycophorin C (Gerbich blood group) [Source:HGNC Symbol;Acc:HGNC:4704]	protein_coding	-2.734e+00	 4.8822938	1.689e+03	 0.000e+00	 0.000e+00
ENSG00000133466	C1QTNF6	C1q and tumor necrosis factor related protein 6 [Source:HGNC Symbol;Acc:HGNC:14343]	protein_coding	-2.675e+00	 6.1577647	1.804e+03	 0.000e+00	 0.000e+00
ENSG00000118503	TNFAIP3	tumor necrosis factor, alpha-induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	protein_coding	-2.654e+00	 5.1570759	1.724e+03	 0.000e+00	 0.000e+00
