gene_id	gene_name	description	biotype	logFC	logCPM	LR	PValue	FDR
ENSG00000241644	INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]	protein_coding	-7.675e+00	 5.736948	6.795e+03	 0.000e+00	 0.000e+00
ENSG00000152580	IGSF10	immunoglobulin superfamily, member 10 [Source:HGNC Symbol;Acc:HGNC:26384]	protein_coding	-6.132e+00	 6.202446	2.502e+03	 0.000e+00	 0.000e+00
ENSG00000163347	CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	protein_coding	 4.878e+00	 5.237814	3.667e+03	 0.000e+00	 0.000e+00
ENSG00000013297	CLDN11	claudin 11 [Source:HGNC Symbol;Acc:HGNC:8514]	protein_coding	-4.785e+00	 8.574131	1.505e+03	 0.000e+00	 0.000e+00
ENSG00000243742	RPLP0P2	ribosomal protein, large, P0 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:17960]	transcribed_processed_pseudogene	 4.558e+00	 3.757876	1.973e+03	 0.000e+00	 0.000e+00
ENSG00000115602	IL1RL1	interleukin 1 receptor-like 1 [Source:HGNC Symbol;Acc:HGNC:5998]	protein_coding	 4.470e+00	 7.880296	2.591e+03	 0.000e+00	 0.000e+00
ENSG00000074370	ATP2A3	ATPase, Ca++ transporting, ubiquitous [Source:HGNC Symbol;Acc:HGNC:813]	protein_coding	 4.344e+00	 5.632197	3.932e+03	 0.000e+00	 0.000e+00
ENSG00000078081	LAMP3	lysosomal-associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:14582]	protein_coding	 4.289e+00	 4.643942	2.708e+03	 0.000e+00	 0.000e+00
ENSG00000011347	SYT7	synaptotagmin VII [Source:HGNC Symbol;Acc:HGNC:11514]	protein_coding	 4.247e+00	 5.003119	2.885e+03	 0.000e+00	 0.000e+00
ENSG00000116183	PAPPA2	pappalysin 2 [Source:HGNC Symbol;Acc:HGNC:14615]	protein_coding	 4.065e+00	 3.966249	1.836e+03	 0.000e+00	 0.000e+00
ENSG00000143320	CRABP2	cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]	protein_coding	-4.056e+00	 4.491850	2.374e+03	 0.000e+00	 0.000e+00
ENSG00000138449	SLC40A1	solute carrier family 40 (iron-regulated transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:10909]	protein_coding	-4.020e+00	 4.837174	1.537e+03	 0.000e+00	 0.000e+00
ENSG00000130600	H19	H19, imprinted maternally expressed transcript (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:4713]	processed_transcript	-3.968e+00	 5.766218	3.990e+03	 0.000e+00	 0.000e+00
ENSG00000112773	FAM46A	family with sequence similarity 46, member A [Source:HGNC Symbol;Acc:HGNC:18345]	protein_coding	 3.945e+00	 7.460305	2.754e+03	 0.000e+00	 0.000e+00
ENSG00000142611	PRDM16	PR domain containing 16 [Source:HGNC Symbol;Acc:HGNC:14000]	protein_coding	 3.887e+00	 3.756335	1.816e+03	 0.000e+00	 0.000e+00
ENSG00000130513	GDF15	growth differentiation factor 15 [Source:HGNC Symbol;Acc:HGNC:30142]	protein_coding	 3.861e+00	 8.355785	3.454e+03	 0.000e+00	 0.000e+00
ENSG00000115525	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10872]	protein_coding	-3.809e+00	 5.332711	2.811e+03	 0.000e+00	 0.000e+00
ENSG00000214357	NEURL1B	neuralized E3 ubiquitin protein ligase 1B [Source:HGNC Symbol;Acc:HGNC:35422]	protein_coding	-3.672e+00	 4.461432	1.493e+03	 0.000e+00	 0.000e+00
ENSG00000168477	TNXB	tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]	protein_coding	-3.566e+00	 8.453314	2.765e+03	 0.000e+00	 0.000e+00
ENSG00000163975	MFI2	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5 [Source:HGNC Symbol;Acc:HGNC:7037]	protein_coding	-3.503e+00	 5.754729	1.551e+03	 0.000e+00	 0.000e+00
ENSG00000125730	C3	complement component 3 [Source:HGNC Symbol;Acc:HGNC:1318]	protein_coding	-3.492e+00	 5.556368	2.392e+03	 0.000e+00	 0.000e+00
ENSG00000070961	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1 [Source:HGNC Symbol;Acc:HGNC:814]	protein_coding	 3.203e+00	 8.513539	2.169e+03	 0.000e+00	 0.000e+00
