gene_id	gene_name	description	biotype	logFC	logCPM	LR	PValue	FDR
ENSG00000164929	BAALC	brain and acute leukemia, cytoplasmic [Source:HGNC Symbol;Acc:HGNC:14333]	protein_coding	-7.699e+00	 3.898748	2.071e+03	 0.000e+00	 0.000e+00
ENSG00000241644	INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]	protein_coding	-7.321e+00	 5.766862	6.601e+03	 0.000e+00	 0.000e+00
ENSG00000115008	IL1A	interleukin 1, alpha [Source:HGNC Symbol;Acc:HGNC:5991]	protein_coding	 7.289e+00	 4.192700	3.234e+03	 0.000e+00	 0.000e+00
ENSG00000152580	IGSF10	immunoglobulin superfamily, member 10 [Source:HGNC Symbol;Acc:HGNC:26384]	protein_coding	-7.186e+00	 6.220312	2.839e+03	 0.000e+00	 0.000e+00
ENSG00000163347	CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	protein_coding	 6.177e+00	 6.536451	5.921e+03	 0.000e+00	 0.000e+00
ENSG00000143320	CRABP2	cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]	protein_coding	-5.578e+00	 4.463727	3.159e+03	 0.000e+00	 0.000e+00
ENSG00000133134	BEX2	brain expressed X-linked 2 [Source:HGNC Symbol;Acc:HGNC:30933]	protein_coding	 5.141e+00	 3.735670	2.193e+03	 0.000e+00	 0.000e+00
ENSG00000078081	LAMP3	lysosomal-associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:14582]	protein_coding	 5.138e+00	 5.489352	3.964e+03	 0.000e+00	 0.000e+00
ENSG00000130600	H19	H19, imprinted maternally expressed transcript (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:4713]	processed_transcript	-5.123e+00	 5.745566	5.163e+03	 0.000e+00	 0.000e+00
ENSG00000039537	C6	complement component 6 [Source:HGNC Symbol;Acc:HGNC:1339]	protein_coding	-5.114e+00	 3.457860	1.675e+03	 0.000e+00	 0.000e+00
ENSG00000113319	RASGRF2	Ras protein-specific guanine nucleotide-releasing factor 2 [Source:HGNC Symbol;Acc:HGNC:9876]	protein_coding	 4.779e+00	 4.337909	2.507e+03	 0.000e+00	 0.000e+00
ENSG00000168077	SCARA3	scavenger receptor class A, member 3 [Source:HGNC Symbol;Acc:HGNC:19000]	protein_coding	-4.589e+00	 4.603168	3.056e+03	 0.000e+00	 0.000e+00
ENSG00000156486	KCNS2	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2 [Source:HGNC Symbol;Acc:HGNC:6301]	protein_coding	-4.575e+00	 3.400282	1.562e+03	 0.000e+00	 0.000e+00
ENSG00000115602	IL1RL1	interleukin 1 receptor-like 1 [Source:HGNC Symbol;Acc:HGNC:5998]	protein_coding	 4.517e+00	 7.954209	2.516e+03	 0.000e+00	 0.000e+00
ENSG00000130513	GDF15	growth differentiation factor 15 [Source:HGNC Symbol;Acc:HGNC:30142]	protein_coding	 4.485e+00	 8.975780	1.928e+03	 0.000e+00	 0.000e+00
ENSG00000214357	NEURL1B	neuralized E3 ubiquitin protein ligase 1B [Source:HGNC Symbol;Acc:HGNC:35422]	protein_coding	-4.470e+00	 4.442649	1.947e+03	 0.000e+00	 0.000e+00
ENSG00000116183	PAPPA2	pappalysin 2 [Source:HGNC Symbol;Acc:HGNC:14615]	protein_coding	 4.470e+00	 4.379800	1.796e+03	 0.000e+00	 0.000e+00
ENSG00000138449	SLC40A1	solute carrier family 40 (iron-regulated transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:10909]	protein_coding	-4.371e+00	 4.846369	1.746e+03	 0.000e+00	 0.000e+00
ENSG00000130203	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	protein_coding	-4.314e+00	 9.613041	3.148e+03	 0.000e+00	 0.000e+00
ENSG00000111341	MGP	matrix Gla protein [Source:HGNC Symbol;Acc:HGNC:7060]	protein_coding	-4.304e+00	 7.205159	5.041e+03	 0.000e+00	 0.000e+00
ENSG00000074370	ATP2A3	ATPase, Ca++ transporting, ubiquitous [Source:HGNC Symbol;Acc:HGNC:813]	protein_coding	 4.119e+00	 5.448547	3.346e+03	 0.000e+00	 0.000e+00
ENSG00000104081	BMF	Bcl2 modifying factor [Source:HGNC Symbol;Acc:HGNC:24132]	protein_coding	-4.007e+00	 3.402585	1.491e+03	 0.000e+00	 0.000e+00
ENSG00000112773	FAM46A	family with sequence similarity 46, member A [Source:HGNC Symbol;Acc:HGNC:18345]	protein_coding	 3.998e+00	 7.539493	2.657e+03	 0.000e+00	 0.000e+00
ENSG00000125730	C3	complement component 3 [Source:HGNC Symbol;Acc:HGNC:1318]	protein_coding	-3.975e+00	 5.549910	2.739e+03	 0.000e+00	 0.000e+00
ENSG00000126803	HSPA2	heat shock 70kDa protein 2 [Source:HGNC Symbol;Acc:HGNC:5235]	protein_coding	-3.969e+00	 5.122520	1.800e+03	 0.000e+00	 0.000e+00
ENSG00000143867	OSR1	odd-skipped related transciption factor 1 [Source:HGNC Symbol;Acc:HGNC:8111]	protein_coding	-3.953e+00	 3.701298	1.768e+03	 0.000e+00	 0.000e+00
ENSG00000151150	ANK3	ankyrin 3, node of Ranvier (ankyrin G) [Source:HGNC Symbol;Acc:HGNC:494]	protein_coding	-3.936e+00	 7.385129	2.777e+03	 0.000e+00	 0.000e+00
ENSG00000064300	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	protein_coding	-3.928e+00	 3.642913	1.494e+03	 0.000e+00	 0.000e+00
ENSG00000143416	SELENBP1	selenium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10719]	protein_coding	-3.924e+00	 4.842288	1.747e+03	 0.000e+00	 0.000e+00
ENSG00000139874	SSTR1	somatostatin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11330]	protein_coding	 3.919e+00	 4.297995	1.491e+03	 0.000e+00	 0.000e+00
ENSG00000142611	PRDM16	PR domain containing 16 [Source:HGNC Symbol;Acc:HGNC:14000]	protein_coding	 3.858e+00	 3.760907	1.646e+03	 0.000e+00	 0.000e+00
ENSG00000250722	SEPP1	selenoprotein P, plasma, 1 [Source:HGNC Symbol;Acc:HGNC:10751]	protein_coding	-3.856e+00	 4.557645	1.945e+03	 0.000e+00	 0.000e+00
ENSG00000134569	LRP4	low density lipoprotein receptor-related protein 4 [Source:HGNC Symbol;Acc:HGNC:6696]	protein_coding	-3.820e+00	 6.068018	2.603e+03	 0.000e+00	 0.000e+00
ENSG00000070961	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1 [Source:HGNC Symbol;Acc:HGNC:814]	protein_coding	 3.776e+00	 9.068636	3.096e+03	 0.000e+00	 0.000e+00
ENSG00000042062	FAM65C	family with sequence similarity 65, member C [Source:HGNC Symbol;Acc:HGNC:16168]	protein_coding	-3.720e+00	 4.784338	1.725e+03	 0.000e+00	 0.000e+00
ENSG00000094963	FMO2	flavin containing monooxygenase 2 (non-functional) [Source:HGNC Symbol;Acc:HGNC:3770]	protein_coding	-3.705e+00	 5.157361	2.069e+03	 0.000e+00	 0.000e+00
ENSG00000115525	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10872]	protein_coding	-3.645e+00	 5.372035	2.666e+03	 0.000e+00	 0.000e+00
ENSG00000187955	COL14A1	collagen, type XIV, alpha 1 [Source:HGNC Symbol;Acc:HGNC:2191]	protein_coding	-3.620e+00	 8.216948	3.469e+03	 0.000e+00	 0.000e+00
ENSG00000115252	PDE1A	phosphodiesterase 1A, calmodulin-dependent [Source:HGNC Symbol;Acc:HGNC:8774]	protein_coding	-3.576e+00	 5.236209	2.915e+03	 0.000e+00	 0.000e+00
ENSG00000112936	C7	complement component 7 [Source:HGNC Symbol;Acc:HGNC:1346]	protein_coding	-3.565e+00	10.718497	2.493e+03	 0.000e+00	 0.000e+00
ENSG00000162772	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	protein_coding	 3.545e+00	 5.915604	2.764e+03	 0.000e+00	 0.000e+00
ENSG00000170909	OSCAR	osteoclast associated, immunoglobulin-like receptor [Source:HGNC Symbol;Acc:HGNC:29960]	protein_coding	 3.466e+00	 4.095706	1.500e+03	 0.000e+00	 0.000e+00
ENSG00000211445	GPX3	glutathione peroxidase 3 (plasma) [Source:HGNC Symbol;Acc:HGNC:4555]	protein_coding	-3.449e+00	 8.073566	1.982e+03	 0.000e+00	 0.000e+00
ENSG00000180447	GAS1	growth arrest-specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	protein_coding	-3.443e+00	 6.328335	1.558e+03	 0.000e+00	 0.000e+00
ENSG00000145632	PLK2	polo-like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]	protein_coding	-3.421e+00	 7.558012	3.792e+03	 0.000e+00	 0.000e+00
ENSG00000183671	GPR1	G protein-coupled receptor 1 [Source:HGNC Symbol;Acc:HGNC:4463]	protein_coding	 3.353e+00	 7.196639	3.525e+03	 0.000e+00	 0.000e+00
ENSG00000149451	ADAM33	ADAM metallopeptidase domain 33 [Source:HGNC Symbol;Acc:HGNC:15478]	protein_coding	-3.351e+00	 6.445389	2.330e+03	 0.000e+00	 0.000e+00
ENSG00000146072	TNFRSF21	tumor necrosis factor receptor superfamily, member 21 [Source:HGNC Symbol;Acc:HGNC:13469]	protein_coding	-3.297e+00	 8.239662	1.875e+03	 0.000e+00	 0.000e+00
ENSG00000100100	PIK3IP1	phosphoinositide-3-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24942]	protein_coding	-3.247e+00	 4.003456	1.623e+03	 0.000e+00	 0.000e+00
ENSG00000174807	CD248	CD248 molecule, endosialin [Source:HGNC Symbol;Acc:HGNC:18219]	protein_coding	-3.245e+00	 7.795682	2.983e+03	 0.000e+00	 0.000e+00
ENSG00000122176	FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	protein_coding	-3.243e+00	 5.688961	2.556e+03	 0.000e+00	 0.000e+00
ENSG00000077942	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	protein_coding	-3.231e+00	 8.403162	3.253e+03	 0.000e+00	 0.000e+00
ENSG00000109686	SH3D19	SH3 domain containing 19 [Source:HGNC Symbol;Acc:HGNC:30418]	protein_coding	-3.196e+00	 7.749455	2.392e+03	 0.000e+00	 0.000e+00
ENSG00000103485	QPRT	quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:9755]	protein_coding	-3.183e+00	 5.309954	1.923e+03	 0.000e+00	 0.000e+00
ENSG00000146122	DAAM2	dishevelled associated activator of morphogenesis 2 [Source:HGNC Symbol;Acc:HGNC:18143]	protein_coding	-3.178e+00	 5.070859	2.631e+03	 0.000e+00	 0.000e+00
ENSG00000118004	COLEC11	collectin sub-family member 11 [Source:HGNC Symbol;Acc:HGNC:17213]	protein_coding	-3.155e+00	 7.301577	2.580e+03	 0.000e+00	 0.000e+00
ENSG00000126822	PLEKHG3	pleckstrin homology domain containing, family G (with RhoGef domain) member 3 [Source:HGNC Symbol;Acc:HGNC:20364]	protein_coding	-3.155e+00	 4.411092	1.622e+03	 0.000e+00	 0.000e+00
ENSG00000117643	MAN1C1	mannosidase, alpha, class 1C, member 1 [Source:HGNC Symbol;Acc:HGNC:19080]	protein_coding	-3.145e+00	 4.639965	1.714e+03	 0.000e+00	 0.000e+00
ENSG00000168477	TNXB	tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]	protein_coding	-3.093e+00	 8.525144	1.504e+03	 0.000e+00	 0.000e+00
ENSG00000119986	AVPI1	arginine vasopressin-induced 1 [Source:HGNC Symbol;Acc:HGNC:30898]	protein_coding	 3.088e+00	 5.726391	1.881e+03	 0.000e+00	 0.000e+00
ENSG00000164056	SPRY1	sprouty homolog 1, antagonist of FGF signaling (Drosophila) [Source:HGNC Symbol;Acc:HGNC:11269]	protein_coding	-3.078e+00	 6.222752	2.577e+03	 0.000e+00	 0.000e+00
ENSG00000205978	NYNRIN	NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:HGNC:20165]	protein_coding	-3.068e+00	 5.201636	2.591e+03	 0.000e+00	 0.000e+00
