gene	TGFb_t24_FDR	TGFb_t24_logFC	TGFb_t48_FDR	TGFb_t48_logFC	TGFb_t72_FDR	TGFb_t72_logFC	Thrombin_t24_FDR	Thrombin_t24_logFC	Thrombin_t48_FDR	Thrombin_t48_logFC	Thrombin_t72_FDR	Thrombin_t72_logFC
ENSG00000248866					 5.675e-15	-1.132e+00					 1.101e-25	-1.566e+00
ENSG00000127329									 5.894e-66	 1.850e+00	 5.013e-43	 1.503e+00
ENSG00000095637	 1.152e-12	-1.128e+00	 3.058e-26	-1.505e+00	 2.206e-77	-2.817e+00					 9.668e-65	-2.778e+00
ENSG00000182511					 1.065e-53	-1.209e+00					2.058e-109	-1.511e+00
ENSG00000224897											 5.342e-64	-1.840e+00
ENSG00000157216											 5.022e-59	-1.042e+00
ENSG00000142871							 0.000e+00	 2.320e+00	 0.000e+00	 2.117e+00		
ENSG00000196155	 4.350e-76	-1.394e+00			 1.820e-70	-1.652e+00			 1.713e-62	-1.174e+00	4.091e-117	-2.007e+00
ENSG00000006468			 4.198e-40	 1.221e+00	 1.222e-86	 1.743e+00						
ENSG00000175130					9.506e-299	-1.881e+00					 0.000e+00	-2.421e+00
ENSG00000271576											 3.090e-05	-1.041e+00
ENSG00000100479					 1.550e-10	-1.794e+00					 4.245e-15	-2.287e+00
ENSG00000162676					 1.127e-10	 1.637e+00						
ENSG00000005884					 1.875e-97	-1.487e+00			9.765e-147	 1.168e+00		
ENSG00000034510					 7.372e-81	-1.019e+00						
ENSG00000174684											 5.370e-38	-1.019e+00
ENSG00000184661					 9.112e-13	-1.656e+00			 3.965e-28	 1.090e+00	 2.183e-15	-1.684e+00
ENSG00000255252											 4.787e-07	 2.473e+00
ENSG00000159259					 6.716e-23	-1.464e+00					 2.109e-26	-1.430e+00
ENSG00000207554											 2.598e-05	-1.444e+00
ENSG00000102057									2.327e-116	-2.065e+00	 3.339e-16	-1.113e+00
ENSG00000179776	 1.868e-60	-1.212e+00	 5.386e-66	-1.091e+00	2.616e-204	-2.580e+00					 3.663e-53	-1.225e+00
ENSG00000155760					 2.075e-41	-1.343e+00					 1.362e-54	-1.566e+00
ENSG00000236255									 8.587e-42	-1.187e+00		
ENSG00000132669					3.749e-119	-1.520e+00					1.334e-199	-1.953e+00
ENSG00000184220					 9.704e-46	 1.176e+00					1.121e-125	 1.519e+00
ENSG00000227666					 8.756e-05	-1.246e+00					 4.684e-07	-1.624e+00
ENSG00000222482			 2.074e-05	-1.387e+00	 5.098e-07	-1.507e+00			 3.944e-08	-1.419e+00		
ENSG00000169026											 7.274e-43	-1.425e+00
ENSG00000139211							7.015e-149	 1.550e+00	 0.000e+00	 2.356e+00		
ENSG00000156049	 1.434e-36	-2.327e+00	 3.951e-35	-2.634e+00	 2.526e-74	-3.052e+00	 1.383e-21	-1.663e+00	 1.019e-30	-1.498e+00	 6.497e-56	-2.338e+00
ENSG00000208005											 5.774e-09	-1.032e+00
ENSG00000176046			2.974e-110	 1.033e+00					1.450e-181	 1.245e+00		
ENSG00000115963					1.737e-314	 2.446e+00			3.551e-203	 1.188e+00	 0.000e+00	 2.994e+00
ENSG00000160199											 8.090e-55	-1.097e+00
ENSG00000155792	 2.065e-44	-1.463e+00			 1.954e-70	-1.203e+00					3.271e-165	-1.782e+00
ENSG00000099337			1.223e-145	-1.247e+00	1.102e-145	-2.095e+00					1.988e-210	-2.254e+00
ENSG00000131153					 2.011e-15	-1.758e+00					 1.325e-24	-2.425e+00
ENSG00000101146											 2.292e-85	 1.052e+00
ENSG00000164330	 1.006e-23	-1.039e+00							 2.661e-74	-1.322e+00	 1.134e-32	-1.301e+00
ENSG00000160285					1.492e-169	-1.447e+00					2.849e-100	-1.442e+00
ENSG00000078114			 5.494e-43	 2.148e+00	 0.000e+00	 2.724e+00			4.599e-106	 1.980e+00	 0.000e+00	 2.609e+00
ENSG00000181852									1.688e-256	 1.420e+00		
ENSG00000181938			 6.909e-09	-1.056e+00	 1.220e-09	-1.030e+00						
ENSG00000260948									 2.100e-12	-1.627e+00		
ENSG00000051341					 7.643e-23	-3.098e+00					 4.702e-31	-3.605e+00
ENSG00000156675					 3.275e-53	-1.141e+00						
ENSG00000173545					4.696e-103	 1.015e+00					6.716e-155	 1.256e+00
ENSG00000212694					 4.702e-35	-1.188e+00			 1.978e-77	-1.345e+00	 4.740e-55	-1.414e+00
ENSG00000100196					3.839e-116	-1.579e+00					6.262e-120	-1.687e+00
ENSG00000114480					1.091e-135	 1.412e+00					 0.000e+00	 2.188e+00
ENSG00000080573									2.334e-149	-1.036e+00	5.768e-140	-1.529e+00
ENSG00000174332											 9.416e-19	-1.279e+00
ENSG00000170214					3.259e-122	-1.662e+00					1.489e-153	-1.968e+00
ENSG00000070669	 1.234e-50	 1.052e+00	 0.000e+00	 3.687e+00					 0.000e+00	 4.215e+00		
ENSG00000105639											 2.515e-78	-1.684e+00
ENSG00000270058					 2.643e-49	 2.932e+00			 4.547e-08	 2.201e+00	 3.822e-44	 2.930e+00
ENSG00000159200			 1.028e-90	 1.152e+00	4.355e-171	 2.300e+00			 0.000e+00	 2.674e+00	2.609e-149	 2.293e+00
ENSG00000114378					 1.243e-32	-1.787e+00					 3.594e-17	-1.127e+00
ENSG00000073146					 2.575e-33	-1.201e+00						
ENSG00000204604					 1.456e-47	 1.078e+00					 9.090e-98	 1.424e+00
ENSG00000041353	3.850e-243	-2.074e+00					1.923e-103	-1.209e+00				
ENSG00000143799											 4.674e-93	-1.003e+00
ENSG00000105835					9.367e-202	 2.035e+00					 0.000e+00	 2.393e+00
ENSG00000110719					 7.760e-81	-1.124e+00					 9.479e-60	-1.079e+00
ENSG00000271992					 8.912e-06	 1.321e+00			 8.498e-10	 2.176e+00		
ENSG00000143545											6.345e-103	-1.081e+00
ENSG00000092470											 1.225e-22	-1.335e+00
ENSG00000250722	 2.514e-32	-2.494e+00	8.692e-190	-2.654e+00	2.161e-233	-2.703e+00			3.125e-187	-2.545e+00	 0.000e+00	-3.856e+00
ENSG00000125885					 2.821e-18	-1.058e+00					 8.248e-21	-1.186e+00
