gene	TGFb_t24_FDR	TGFb_t24_logFC	TGFb_t48_FDR	TGFb_t48_logFC	TGFb_t72_FDR	TGFb_t72_logFC	TGFb_and_JQ1_t24_FDR	TGFb_and_JQ1_t24_logFC	TGFb_and_JQ1_t48_FDR	TGFb_and_JQ1_t48_logFC	TGFb_and_JQ1_t72_FDR	TGFb_and_JQ1_t72_logFC
ENSG00000100479					 1.550e-10	-1.794e+00						
ENSG00000034510					 7.372e-81	-1.019e+00						
ENSG00000222482			 2.074e-05	-1.387e+00	 5.098e-07	-1.507e+00					 3.246e-08	 1.1638293
ENSG00000115963					1.737e-314	 2.446e+00	1.243e-169	 1.591e+00				
ENSG00000181938			 6.909e-09	-1.056e+00	 1.220e-09	-1.030e+00						
ENSG00000110719					 7.760e-81	-1.124e+00						
ENSG00000271992					 8.912e-06	 1.321e+00						
ENSG00000275074					 2.388e-36	-1.098e+00						
ENSG00000106610					 5.566e-43	 1.191e+00						
ENSG00000152253					 1.945e-20	-7.671e+00	 1.780e-40	-1.179e+00	 5.634e-19	 1.4824234		
ENSG00000275993	 4.895e-36	 1.572e+00	9.331e-127	 3.451e+00	 4.409e-95	 2.367e+00						
ENSG00000128512			 3.318e-73	-1.088e+00							 5.874e-37	 1.1745567
ENSG00000228436	 5.126e-05	-1.185e+00										
ENSG00000166321					 1.982e-08	-1.057e+00						
ENSG00000165891			 2.785e-84	 1.121e+00	3.788e-215	 2.312e+00						
ENSG00000137880					 1.698e-11	-1.761e+00						
ENSG00000180543					 1.016e-73	 1.111e+00						
ENSG00000226738			 1.104e-05	 5.600e+00	 6.405e-63	 3.916e+00					 9.511e-09	-6.3862902
ENSG00000168952					 4.134e-38	-1.346e+00						
ENSG00000125319					 2.403e-08	-1.315e+00						
ENSG00000198624	 1.571e-34	-1.233e+00	 1.334e-64	-1.176e+00								
ENSG00000112715	4.602e-261	 1.420e+00	 0.000e+00	 2.060e+00	 2.044e-78	 1.060e+00					 1.949e-99	-1.9000746
ENSG00000145040	 6.004e-39	 1.604e+00	 3.769e-24	 2.093e+00	 1.744e-13	 1.510e+00						
ENSG00000226415					 1.436e-05	-1.289e+00			 2.281e-05	 1.1228341		
ENSG00000164904					 1.853e-61	-1.018e+00						
ENSG00000007944	 1.235e-47	-1.070e+00	 4.729e-54	-1.299e+00					 2.080e-85	 1.2199767	4.194e-163	 2.5543674
ENSG00000118217					2.871e-108	 1.119e+00						
ENSG00000172053					4.071e-119	-1.082e+00						
ENSG00000257524	 3.747e-05	-1.067e+00	 1.012e-07	-1.018e+00	 7.023e-16	-1.361e+00			 1.028e-10	-1.1749913		
ENSG00000183814					 3.083e-07	-1.173e+00						
ENSG00000156398					 9.960e-26	-1.441e+00						
ENSG00000273038					 2.899e-37	-1.362e+00						
ENSG00000155304					 0.000e+00	 1.775e+00						
ENSG00000251136					 2.167e-34	 1.074e+00						
ENSG00000175197			4.252e-213	 1.769e+00	1.202e-209	 1.476e+00						
ENSG00000120658					 4.271e-30	-1.751e+00						
ENSG00000154127	4.510e-154	 1.141e+00	2.819e-220	 1.896e+00							 5.768e-22	-1.1178657
ENSG00000273796					 3.540e-05	-1.526e+00	 3.399e-06	-1.230e+00				
ENSG00000167323					2.851e-106	 1.015e+00						
ENSG00000144597					 4.179e-82	 1.209e+00						
ENSG00000116711					 1.650e-85	-1.618e+00						
ENSG00000120693					 7.389e-32	-1.522e+00	 1.636e-33	-1.339e+00	 1.258e-32	-1.3976334		
ENSG00000141858					 7.685e-57	-1.208e+00						
ENSG00000262877	 1.869e-15	-1.357e+00									 1.456e-50	 1.9991019
ENSG00000076604					1.303e-105	 1.090e+00						
ENSG00000142731					 8.940e-25	-2.449e+00			 1.860e-16	 1.1492148		
ENSG00000117152			3.637e-131	-1.344e+00	8.072e-164	-2.167e+00						
ENSG00000113161					 3.974e-97	-1.138e+00						
ENSG00000270001	 4.016e-07	-1.007e+00										
ENSG00000128510	 1.468e-09	-1.109e+00	 6.992e-35	-2.975e+00	1.225e-202	-6.271e+00	 1.924e-11	 1.123e+00			 4.593e-18	-1.2994866
ENSG00000234203			 1.508e-07	 2.183e+00							 2.757e-14	-2.6171695
ENSG00000185437					 1.728e-81	 2.369e+00						
ENSG00000224034					 4.151e-05	 1.831e+00						
ENSG00000130304					 2.436e-63	-1.242e+00						
ENSG00000187801			 1.126e-10	 1.027e+00								
ENSG00000106351	 1.861e-84	-1.154e+00	9.500e-200	-1.779e+00	1.331e-160	-2.297e+00					 3.503e-25	 1.2023111
ENSG00000182606					 1.371e-78	-1.035e+00						
ENSG00000161800					 2.222e-23	-1.208e+00						
ENSG00000115461	9.943e-146	-1.152e+00	8.932e-236	-2.322e+00	2.009e-264	-3.311e+00	6.440e-209	-1.627e+00	 0.000e+00	-2.5869023		
ENSG00000185338					 3.923e-27	-1.607e+00						
ENSG00000235119			 2.226e-07	 4.615e+00							 8.223e-10	-6.5983332
ENSG00000238107			 7.533e-13	 5.447e+00	 4.459e-35	 3.225e+00					 3.110e-07	-6.3623739
ENSG00000128294					 1.342e-51	-1.049e+00						
ENSG00000198189					 2.940e-82	-1.376e+00	3.339e-109	-1.754e+00				
ENSG00000100979					 5.826e-65	-1.119e+00						
ENSG00000183856					 1.255e-55	-3.182e+00			9.170e-141	 2.0675388		
ENSG00000160606					 4.117e-14	-1.158e+00	 2.135e-72	 1.864e+00				
ENSG00000185633			 2.078e-16	 1.075e+00	 7.617e-53	-1.653e+00					9.465e-170	-4.0017069
ENSG00000173334					4.940e-265	 2.362e+00	 2.902e-41	 1.107e+00				
ENSG00000179598					 1.748e-79	 2.143e+00	 3.091e-08	-1.179e+00				
ENSG00000171889			 1.722e-32	 1.565e+00	7.656e-239	 2.928e+00						
ENSG00000277639					 1.201e-09	 1.491e+00						
ENSG00000152154	 8.281e-07	-1.650e+00										
ENSG00000117650					 4.428e-12	-1.913e+00	 2.054e-79	-1.420e+00	 4.613e-38	 1.5212419		
ENSG00000225131					 6.427e-05	 1.390e+00						
ENSG00000123933	 5.315e-78	-1.037e+00			1.665e-190	-1.882e+00						
ENSG00000183044					 8.033e-51	-1.293e+00						
ENSG00000162572	 4.539e-12	-1.002e+00										
ENSG00000074527					5.654e-153	 1.924e+00						
ENSG00000169359					2.357e-130	 1.080e+00						
ENSG00000146072	 1.444e-99	-1.909e+00	2.762e-171	-1.196e+00	2.006e-228	-2.229e+00	 1.968e-45	-1.191e+00	 1.118e-97	-1.1497557		
ENSG00000175087					 5.138e-27	 1.038e+00						
ENSG00000238058					 4.513e-06	-1.185e+00						
ENSG00000123485					 2.031e-37	-3.283e+00			 1.252e-49	 1.3092231		
ENSG00000092964					 1.627e-83	-1.040e+00						
ENSG00000133687	6.387e-129	-1.150e+00										
ENSG00000187583			 5.122e-11	 1.180e+00							 3.990e-07	-1.2102538
ENSG00000149131					8.705e-189	-1.673e+00						
ENSG00000101003					 8.346e-14	-1.373e+00						
ENSG00000199024					 1.475e-05	 1.182e+00						
ENSG00000167508					1.993e-238	-1.782e+00	2.558e-165	 1.317e+00				
ENSG00000112218					 5.717e-25	 1.203e+00	 1.097e-15	 1.005e+00				
ENSG00000234779					 1.748e-05	-1.063e+00	 4.092e-15	-1.464e+00				
ENSG00000105270					3.236e-106	-1.237e+00						
ENSG00000111247					 1.956e-07	-1.318e+00						
ENSG00000111696					 3.362e-43	-1.020e+00						
