gene_id	gene_name	description	biotype	9999	logCPM	LR	PValue	0
ENSG00000055130	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	protein_coding	-9999	 5.501114	4.318e+00	 3.771e-02	0
ENSG00000261770	CTC-459F4.1		lincRNA	-9999	-0.146993	4.317e+00	 3.773e-02	0
ENSG00000185880	TRIM69	tripartite motif containing 69 [Source:HGNC Symbol;Acc:HGNC:17857]	protein_coding	-9999	 3.133900	4.312e+00	 3.785e-02	0
ENSG00000205643	CDPF1	cysteine-rich, DPF motif domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33710]	protein_coding	-9999	 2.957378	4.311e+00	 3.786e-02	0
ENSG00000207839	MIR33B	microRNA 33b [Source:HGNC Symbol;Acc:HGNC:32791]	miRNA	9999	-2.410807	4.310e+00	 3.788e-02	0
ENSG00000100393	EP300	E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373]	protein_coding	9999	 7.014063	4.309e+00	 3.790e-02	0
ENSG00000009307	CSDE1	cold shock domain containing E1, RNA-binding [Source:HGNC Symbol;Acc:HGNC:29905]	protein_coding	9999	 8.996936	4.307e+00	 3.796e-02	0
ENSG00000204822	MRPL53	mitochondrial ribosomal protein L53 [Source:HGNC Symbol;Acc:HGNC:16684]	protein_coding	-9999	 1.124518	4.307e+00	 3.797e-02	0
ENSG00000254837	AP001372.2		lincRNA	-9999	 1.924645	4.305e+00	 3.799e-02	0
ENSG00000265280	AC018804.1		miRNA	-9999	-2.574814	4.305e+00	 3.800e-02	0
ENSG00000127334	DYRK2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:3093]	protein_coding	-9999	 4.639384	4.292e+00	 3.829e-02	0
ENSG00000230415	RP5-902P8.10		lincRNA	9999	 0.331265	4.291e+00	 3.832e-02	0
ENSG00000261840	RP11-146F11.1		antisense	9999	 0.458949	4.289e+00	 3.835e-02	0
ENSG00000117419	ERI3	ERI1 exoribonuclease family member 3 [Source:HGNC Symbol;Acc:HGNC:17276]	protein_coding	-9999	 5.283831	4.289e+00	 3.835e-02	0
ENSG00000130844	ZNF331	zinc finger protein 331 [Source:HGNC Symbol;Acc:HGNC:15489]	protein_coding	-9999	 3.144518	4.284e+00	 3.848e-02	0
ENSG00000136141	LRCH1	leucine-rich repeats and calponin homology (CH) domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20309]	protein_coding	9999	 4.116689	4.282e+00	 3.851e-02	0
ENSG00000104899	AMH	anti-Mullerian hormone [Source:HGNC Symbol;Acc:HGNC:464]	protein_coding	-9999	 0.624721	4.282e+00	 3.852e-02	0
ENSG00000197771	MCMBP	minichromosome maintenance complex binding protein [Source:HGNC Symbol;Acc:HGNC:25782]	protein_coding	-9999	 5.670148	4.281e+00	 3.854e-02	0
ENSG00000056586	RC3H2	ring finger and CCCH-type domains 2 [Source:HGNC Symbol;Acc:HGNC:21461]	protein_coding	9999	 6.136444	4.277e+00	 3.862e-02	0
ENSG00000179981	TSHZ1	teashirt zinc finger homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10669]	protein_coding	9999	 5.610285	4.277e+00	 3.864e-02	0
ENSG00000085511	MAP3K4	mitogen-activated protein kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6856]	protein_coding	-9999	 4.979228	4.277e+00	 3.864e-02	0
ENSG00000105810	CDK6	cyclin-dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	protein_coding	-9999	 5.410141	4.276e+00	 3.865e-02	0
ENSG00000213676	ATF6B	activating transcription factor 6 beta [Source:HGNC Symbol;Acc:HGNC:2349]	protein_coding	9999	 6.729671	4.273e+00	 3.873e-02	0
ENSG00000115204	MPV17	MpV17 mitochondrial inner membrane protein [Source:HGNC Symbol;Acc:HGNC:7224]	protein_coding	-9999	 6.159379	4.270e+00	 3.879e-02	0
ENSG00000143621	ILF2	interleukin enhancer binding factor 2 [Source:HGNC Symbol;Acc:HGNC:6037]	protein_coding	9999	 6.600798	4.269e+00	 3.881e-02	0
ENSG00000276376	U7	U7 small nuclear RNA [Source:RFAM;Acc:RF00066]	snRNA	-9999	-2.677983	4.266e+00	 3.887e-02	0
ENSG00000197599	CCDC154	coiled-coil domain containing 154 [Source:HGNC Symbol;Acc:HGNC:34454]	protein_coding	-9999	 0.343343	4.257e+00	 3.908e-02	0
ENSG00000162650	ATXN7L2	ataxin 7-like 2 [Source:HGNC Symbol;Acc:HGNC:28713]	protein_coding	-9999	 2.869965	4.254e+00	 3.916e-02	0
ENSG00000165916	PSMC3	proteasome (prosome, macropain) 26S subunit, ATPase, 3 [Source:HGNC Symbol;Acc:HGNC:9549]	protein_coding	9999	 6.622659	4.249e+00	 3.927e-02	0
ENSG00000101844	ATG4A	autophagy related 4A, cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16489]	protein_coding	-9999	 3.529118	4.249e+00	 3.928e-02	0
ENSG00000048828	FAM120A	family with sequence similarity 120A [Source:HGNC Symbol;Acc:HGNC:13247]	protein_coding	9999	 7.881468	4.248e+00	 3.930e-02	0
ENSG00000145414	NAF1	nuclear assembly factor 1 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:25126]	protein_coding	-9999	 3.334027	4.247e+00	 3.933e-02	0
ENSG00000120314	WDR55	WD repeat domain 55 [Source:HGNC Symbol;Acc:HGNC:25971]	protein_coding	9999	 5.013709	4.245e+00	 3.937e-02	0
ENSG00000273186	RP11-339B21.10		sense_intronic	-9999	-0.184327	4.244e+00	 3.940e-02	0
ENSG00000133131	MORC4	MORC family CW-type zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:23485]	protein_coding	9999	 4.708709	4.243e+00	 3.941e-02	0
ENSG00000165501	LRR1	leucine rich repeat protein 1 [Source:HGNC Symbol;Acc:HGNC:19742]	protein_coding	9999	 2.988819	4.241e+00	 3.946e-02	0
ENSG00000116704	SLC35D1	solute carrier family 35 (UDP-GlcA/UDP-GalNAc transporter), member D1 [Source:HGNC Symbol;Acc:HGNC:20800]	protein_coding	9999	 5.610212	4.241e+00	 3.946e-02	0
ENSG00000233547	RP11-57H14.2		antisense	-9999	-1.326703	4.236e+00	 3.958e-02	0
ENSG00000167770	OTUB1	OTU deubiquitinase, ubiquitin aldehyde binding 1 [Source:HGNC Symbol;Acc:HGNC:23077]	protein_coding	9999	 5.913940	4.231e+00	 3.969e-02	0
